reference_output,count,pct
Yes,703,0.926719308190195
No,587,0.7738040311630788
this,310,0.40865289550349987
a string,263,0.34669584360458217
decorator,201,0.2649652645038822
currently,178,0.23464585612781608
recursively,172,0.22673644524710315
the user,169,0.22278173980674673
already,167,0.22014526951317578
code,146,0.19246233143068062
a function,146,0.19246233143068062
correctly,133,0.17532527452246932
a decorator,132,0.17400703937568385
test,129,0.17005233393532737
in,122,0.160824687907829
by name,112,0.14764233643997415
a user,104,0.1370964552656903
where,103,0.1357782201189048
a file,98,0.12918704438497738
automatically,85,0.11204998747676612
a value,84,0.11073175232998063
a dict,84,0.11073175232998063
a message,77,0.10150410630248223
always,77,0.10150410630248223
properly,77,0.10150410630248223
data,72,0.09491293056855482
previously,65,0.08568528454105644
a dictionary,64,0.08436704939427095
an object,62,0.08173057910069999
directly,56,0.07382116821998708
